sec,direction,cell,n,stopped,mean_speed_kph,speed_eligible_n_ge5
30,E,0,17,0,93.75294117647056,True
30,E,1,4,0,125.6875,False
30,E,2,0,0,,False
30,E,3,0,0,,False
30,E,4,0,0,,False
30,E,5,0,0,,False
30,E,6,0,0,,False
30,E,7,0,0,,False
30,E,8,0,0,,False
30,E,9,0,0,,False
30,E,10,0,0,,False
30,E,11,0,0,,False
30,E,12,0,0,,False
30,E,13,0,0,,False
30,E,14,0,0,,False
30,E,15,0,0,,False
30,E,16,0,0,,False
30,E,17,0,0,,False
30,E,18,0,0,,False
30,E,19,0,0,,False
30,E,20,0,0,,False
30,W,0,15,0,86.89466666666667,True
30,W,1,11,0,120.53727272727274,True
30,W,2,0,0,,False
30,W,3,0,0,,False
30,W,4,0,0,,False
30,W,5,0,0,,False
30,W,6,0,0,,False
30,W,7,0,0,,False
30,W,8,0,0,,False
30,W,9,0,0,,False
30,W,10,0,0,,False
30,W,11,0,0,,False
30,W,12,0,0,,False
30,W,13,0,0,,False
30,W,14,0,0,,False
30,W,15,0,0,,False
30,W,16,0,0,,False
30,W,17,0,0,,False
30,W,18,0,0,,False
30,W,19,0,0,,False
30,W,20,0,0,,False
60,E,0,19,0,86.08684210526314,True
60,E,1,14,0,117.76,True
60,E,2,12,0,119.03666666666668,True
60,E,3,5,0,128.53,True
60,E,4,0,0,,False
60,E,5,0,0,,False
60,E,6,0,0,,False
60,E,7,0,0,,False
60,E,8,0,0,,False
60,E,9,0,0,,False
60,E,10,0,0,,False
60,E,11,0,0,,False
60,E,12,0,0,,False
60,E,13,0,0,,False
60,E,14,0,0,,False
60,E,15,0,0,,False
60,E,16,0,0,,False
60,E,17,0,0,,False
60,E,18,0,0,,False
60,E,19,0,0,,False
60,E,20,0,0,,False
60,W,0,21,0,75.97142857142858,True
60,W,1,12,0,119.64833333333333,True
60,W,2,9,0,120.08999999999999,True
60,W,3,12,0,125.23416666666667,True
60,W,4,0,0,,False
60,W,5,0,0,,False
60,W,6,0,0,,False
60,W,7,0,0,,False
60,W,8,0,0,,False
60,W,9,0,0,,False
60,W,10,0,0,,False
60,W,11,0,0,,False
60,W,12,0,0,,False
60,W,13,0,0,,False
60,W,14,0,0,,False
60,W,15,0,0,,False
60,W,16,0,0,,False
60,W,17,0,0,,False
60,W,18,0,0,,False
60,W,19,0,0,,False
60,W,20,0,0,,False
90,E,0,26,0,76.35884615384617,True
90,E,1,14,0,119.44071428571428,True
90,E,2,13,0,109.05153846153847,True
90,E,3,17,0,121.21470588235294,True
90,E,4,9,0,120.02333333333334,True
90,E,5,6,0,129.85833333333332,True
90,E,6,0,0,,False
90,E,7,0,0,,False
90,E,8,0,0,,False
90,E,9,0,0,,False
90,E,10,0,0,,False
90,E,11,0,0,,False
90,E,12,0,0,,False
