sim_sec,kind,id,dsd_no,sc_no,link,lane,speed_kph,major_green,minor_green,offset,rate_vph,green_sec,metadata,readback
1,vsl,EB_S0_W_ENTRY_TO_D_DIVERGE,1,,33,1,100.0,,,,,,ok,100
1,vsl,EB_S0_W_ENTRY_TO_D_DIVERGE,2,,33,2,100.0,,,,,,ok,100
1,vsl,EB_S1_D_DIVERGE_TO_D_MERGE,3,,33,1,100.0,,,,,,ok,100
1,vsl,EB_S1_D_DIVERGE_TO_D_MERGE,4,,33,2,100.0,,,,,,ok,100
1,vsl,EB_S2_D_MERGE_TO_F_DIVERGE,5,,33,1,100.0,,,,,,ok,100
1,vsl,EB_S2_D_MERGE_TO_F_DIVERGE,6,,33,2,100.0,,,,,,ok,100
1,vsl,EB_S3_F_DIVERGE_TO_F_MERGE,7,,33,1,100.0,,,,,,ok,100
1,vsl,EB_S3_F_DIVERGE_TO_F_MERGE,8,,33,2,100.0,,,,,,ok,100
1,vsl,EB_S4_F_MERGE_TO_E_EXIT,9,,33,1,100.0,,,,,,ok,100
1,vsl,EB_S4_F_MERGE_TO_E_EXIT,10,,33,2,100.0,,,,,,ok,100
1,vsl,WB_S0_E_ENTRY_TO_F_DIVERGE,11,,34,1,100.0,,,,,,ok,100
1,vsl,WB_S0_E_ENTRY_TO_F_DIVERGE,12,,34,2,100.0,,,,,,ok,100
1,vsl,WB_S1_F_DIVERGE_TO_F_MERGE,13,,34,1,100.0,,,,,,ok,100
1,vsl,WB_S1_F_DIVERGE_TO_F_MERGE,14,,34,2,100.0,,,,,,ok,100
1,vsl,WB_S2_F_MERGE_TO_D_DIVERGE,15,,34,1,100.0,,,,,,ok,100
1,vsl,WB_S2_F_MERGE_TO_D_DIVERGE,16,,34,2,100.0,,,,,,ok,100
1,vsl,WB_S3_D_DIVERGE_TO_D_MERGE,17,,34,1,100.0,,,,,,ok,100
1,vsl,WB_S3_D_DIVERGE_TO_D_MERGE,18,,34,2,100.0,,,,,,ok,100
1,vsl,WB_S4_D_MERGE_TO_W_EXIT,19,,34,1,100.0,,,,,,ok,100
1,vsl,WB_S4_D_MERGE_TO_W_EXIT,20,,34,2,100.0,,,,,,ok,100
1,signal,A,,1,,,,56.0,56.0,0.0,,,ok,stored
1,signal,B,,2,,,,56.0,56.0,0.0,,,ok,stored
1,signal,C,,3,,,,56.0,56.0,0.0,,,ok,stored
1,signal,D,,4,,,,56.0,56.0,0.0,,,ok,stored
1,signal,F,,5,,,,56.0,56.0,0.0,,,ok,stored
1,ramp_meter,D,,6,,,,,,,1500.0,8.0,ok,stored
1,ramp_meter,F,,7,,,,,,,1500.0,8.0,ok,stored
60,vsl,EB_S0_W_ENTRY_TO_D_DIVERGE,1,,33,1,100.0,,,,,,ok,100
60,vsl,EB_S0_W_ENTRY_TO_D_DIVERGE,2,,33,2,100.0,,,,,,ok,100
60,vsl,EB_S1_D_DIVERGE_TO_D_MERGE,3,,33,1,100.0,,,,,,ok,100
60,vsl,EB_S1_D_DIVERGE_TO_D_MERGE,4,,33,2,100.0,,,,,,ok,100
60,vsl,EB_S2_D_MERGE_TO_F_DIVERGE,5,,33,1,100.0,,,,,,ok,100
60,vsl,EB_S2_D_MERGE_TO_F_DIVERGE,6,,33,2,100.0,,,,,,ok,100
