sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
1,D,25,4.000000,10,1.000000,0,0.000000,0,0,0,0.000000
1,F,31,4.000000,10,1.000000,0,0.000000,0,0,0,0.000000
10,D,25,4.000000,10,9.000000,0,0.000000,0,0,0,0.000000
10,F,31,4.000000,10,9.000000,0,0.000000,0,0,0,0.000000
20,D,25,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
20,F,31,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
30,D,25,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
30,F,31,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
40,D,25,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
40,F,31,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
50,D,25,4.000000,10,10.000000,0,0.000000,1,0,0,50.120121
50,F,31,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
60,D,25,4.000000,10,10.000000,0,0.000000,0,1,0,0.990811
60,F,31,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
70,D,25,4.000000,10,10.000000,1,360.000000,0,0,0,0.000000
70,F,31,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
80,D,25,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
80,F,31,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
90,D,25,4.000000,10,10.000000,0,0.000000,1,0,0,48.973946
90,F,31,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
100,D,25,4.000000,10,10.000000,1,360.000000,0,0,0,0.000000
100,F,31,4.000000,10,10.000000,0,0.000000,1,0,0,48.852964
110,D,25,4.000000,10,10.000000,0,0.000000,1,0,0,44.151329
110,F,31,4.000000,10,10.000000,0,0.000000,4,0,0,52.645865
120,D,25,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
120,F,31,4.000000,10,10.000000,0,0.000000,4,1,0,39.873601
130,D,25,4.000000,10,10.000000,0,0.000000,1,0,0,51.664073
130,F,31,4.000000,10,10.000000,0,0.000000,3,3,0,15.252935
140,D,25,4.000000,10,10.000000,0,0.000000,4,1,0,43.858895
140,F,31,4.000000,10,10.000000,0,0.000000,2,2,0,22.121150
150,D,25,4.000000,10,10.000000,2,720.000000,5,1,0,42.773015
150,F,31,4.000000,10,10.000000,0,0.000000,3,0,0,43.307514
160,D,25,4.000000,10,10.000000,3,1080.000000,3,2,0,29.069831
160,F,31,4.000000,10,10.000000,1,360.000000,3,1,0,34.260372
170,D,25,4.000000,10,10.000000,2,720.000000,3,2,0,26.527810
170,F,31,4.000000,10,10.000000,1,360.000000,2,0,0,53.981756
180,D,25,4.000000,10,10.000000,2,720.000000,2,2,0,17.557525
180,F,31,4.000000,10,10.000000,0,0.000000,1,0,0,37.570073
190,D,25,4.000000,10,10.000000,2,720.000000,0,1,0,0.000000
190,F,31,4.000000,10,10.000000,0,0.000000,1,0,0,51.176405
200,D,25,4.000000,10,10.000000,1,360.000000,5,0,0,48.688971
200,F,31,4.000000,10,10.000000,0,0.000000,2,1,0,37.197665
210,D,25,4.000000,10,10.000000,3,1080.000000,1,2,0,4.635172
210,F,31,4.000000,10,10.000000,0,0.000000,1,0,0,54.476232
220,D,25,4.000000,10,10.000000,2,720.000000,0,0,0,0.000000
220,F,31,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
230,D,25,4.000000,10,10.000000,0,0.000000,0,0,0,0.000000
230,F,31,4.000000,10,10.000000,0,0.000000,1,0,0,53.390976
240,D,25,4.000000,10,10.000000,0,0.000000,2,0,0,51.731657
240,F,31,4.000000,10,10.000000,0,0.000000,1,0,0,41.920711
