link,bin,seg,lane,rows,stopped,mean_speed
2,0,1700,1,1,0,122.88
2,0,1700,2,2,0,123.14
2,0,1700,3,2,0,127.125
2,0,1700,4,1,0,139.78
2,0,1800,1,2,0,133.67
2,0,1800,2,1,0,124.09
2,0,1800,3,1,0,147.66
2,0,1800,4,1,0,126.36
2,0,1900,3,1,0,139.9
2,0,1900,4,2,0,133.07
2,0,2100,3,1,0,139.9
2,0,2100,4,1,0,139.78
2,0,2300,3,1,0,139.9
2,0,2300,4,1,0,139.78
2,150,1700,1,44,0,102.22046
2,150,1700,2,18,0,114.39223
2,150,1700,3,25,0,116.6332
2,150,1700,4,29,0,121.39
2,150,1800,1,61,0,89.92754
2,150,1800,2,18,0,111.795006
2,150,1800,3,27,0,117.20482
2,150,1800,4,21,0,118.76429
2,150,1900,1,66,3,65.233185
2,150,1900,2,32,0,73.73281
2,150,1900,3,17,0,112.632355
2,150,1900,4,30,0,111.254
2,150,2000,1,17,0,69.49823
2,150,2000,2,23,1,83.17652
2,150,2000,3,31,0,109.35194
2,150,2000,4,24,0,110.91541
2,150,2100,1,15,0,67.17133
2,150,2100,2,7,0,94.52857
2,150,2100,3,25,0,113.0488
2,150,2100,4,28,0,117.96643
2,150,2200,1,7,0,71.05286
2,150,2200,2,19,0,108.13052
2,150,2200,3,24,0,118.04833
2,150,2200,4,18,0,118.312775
2,150,2300,1,12,0,63.8175
2,150,2300,2,12,0,95.800835
2,150,2300,3,23,0,114.06043
2,150,2300,4,28,0,119.6075
2,150,4200,1,10,0,119.85701
2,150,4200,2,3,0,112.486664
2,150,4200,3,8,0,122.49
2,150,4200,4,4,0,122.1875
2,150,4300,1,6,0,109.855
2,150,4300,2,2,0,109.705
2,150,4300,3,5,0,127.785995
2,150,4300,4,3,0,116.69
2,150,4400,1,31,0,49.212578
2,150,4400,2,8,0,71.67375
2,150,4400,3,8,0,121.46375
2,150,4400,4,7,0,119.83143
2,150,4500,1,22,0,38.15409
2,150,4500,2,12,0,51.086666
2,150,4500,3,7,0,115.27429
2,150,4500,4,2,0,118.03
2,150,4600,1,14,0,36.435715
2,150,4600,2,8,0,52.0825
2,150,4600,3,9,0,118.43445
2,150,4600,4,5,0,114.054
2,300,1700,1,53,0,93.44038
2,300,1700,2,22,0,105.70864
2,300,1700,3,28,0,112.35321
2,300,1700,4,26,0,115.14731
2,300,1800,1,75,1,70.56346
2,300,1800,2,26,0,99.98576
2,300,1800,3,26,0,112.89346
2,300,1800,4,27,0,115.26963
2,300,1900,1,129,9,40.582558
2,300,1900,2,31,1,73.95742
2,300,1900,3,33,0,87.87454
2,300,1900,4,32,0,101.27187
2,300,2000,1,30,2,43.320667
2,300,2000,2,27,2,86.23444
2,300,2000,3,34,0,88.6553
2,300,2000,4,46,0,97.75239
2,300,2100,1,22,0,64.67728
2,300,2100,2,25,0,92.622406
2,300,2100,3,26,0,97.03885
2,300,2100,4,27,0,106.64074
2,300,2200,1,23,0,66.323044
2,300,2200,2,31,0,94.52484
2,300,2200,3,30,0,96.760666
2,300,2200,4,33,0,107.18455
2,300,2300,1,22,0,64.96636
2,300,2300,2,27,0,91.388885
2,300,2300,3,31,0,97.57161
2,300,2300,4,28,0,110.22071
2,300,4200,1,21,0,113.31334
2,300,4200,2,7,0,115.82286
2,300,4200,3,15,0,121.76333
2,300,4200,4,18,0,117.14722
2,300,4300,1,23,0,107.602615
2,300,4300,2,12,0,123.755005
2,300,4300,3,13,0,119.6077
2,300,4300,4,16,0,119.41812
2,300,4400,1,45,0,75.89445
2,300,4400,2,9,0,99.727776
2,300,4400,3,19,0,116.77579
2,300,4400,4,23,0,121.27913
2,300,4500,1,13,0,46.02769
2,300,4500,2,11,0,102.65454
2,300,4500,3,17,0,119.49294
2,300,4500,4,16,0,116.85438
2,300,4600,1,15,0,42.53867
2,300,4600,2,10,0,91.004
2,300,4600,3,12,0,117.912506
2,300,4600,4,20,0,121.059494
2,450,1700,1,117,27,45.09487
2,450,1700,2,31,0,91.88968
2,450,1700,3,41,0,101.59074
2,450,1700,4,31,0,107.49
2,450,1800,1,140,33,38.415142
2,450,1800,2,28,0,96.17428
2,450,1800,3,31,0,101.6229
2,450,1800,4,36,0,108.46389
2,450,1900,1,151,36,33.207085
2,450,1900,2,30,1,83.011
2,450,1900,3,34,0,98.26971
2,450,1900,4,34,0,108.56382
2,450,2000,1,22,0,48.17864
2,450,2000,2,24,0,92.52917
2,450,2000,3,36,0,96.188614
2,450,2000,4,42,0,106.652145
2,450,2100,1,16,0,80.6425
2,450,2100,2,24,0,94.69833
2,450,2100,3,25,0,101.664406
2,450,2100,4,41,0,102.432686
2,450,2200,1,21,0,75.70143
2,450,2200,2,33,0,83.390305
2,450,2200,3,33,0,104.383934
2,450,2200,4,34,0,105.721176
2,450,2300,1,21,0,69.949524
2,450,2300,2,24,0,86.34667
2,450,2300,3,28,0,103.325005
2,450,2300,4,36,0,110.21667
2,450,4200,1,25,0,115.6808
2,450,4200,2,11,0,119.69546
2,450,4200,3,16,0,122.92438
2,450,4200,4,14,0,116.013565
2,450,4300,1,23,0,111.6813
2,450,4300,2,14,0,116.89214
2,450,4300,3,19,0,119.36895
2,450,4300,4,16,0,118.05375
2,450,4400,1,52,1,63.423847
2,450,4400,2,14,0,113.97429
2,450,4400,3,17,0,122.117645
2,450,4400,4,19,0,118.814735
2,450,4500,1,19,0,52.51421
2,450,4500,2,22,0,102.01182
2,450,4500,3,19,0,119.93632
2,450,4500,4,15,0,115.968666
2,450,4600,1,17,0,47.20412
2,450,4600,2,18,0,102.20278
2,450,4600,3,20,0,113.30601
2,450,4600,4,16,0,118.8125
2,600,1700,1,50,0,98.273796
2,600,1700,2,21,0,106.28001
2,600,1700,3,27,0,108.473335
2,600,1700,4,27,0,113.69852
2,600,1800,1,72,5,62.463608
2,600,1800,2,26,0,102.808846
2,600,1800,3,28,0,117.28999
2,600,1800,4,33,0,115.686066
2,600,1900,1,150,32,32.035866
2,600,1900,2,22,0,86.55545
2,600,1900,3,24,0,113.93708
2,600,1900,4,22,0,111.96909
2,600,2000,1,27,5,31.13889
2,600,2000,2,17,0,85.51941
2,600,2000,3,36,0,112.70555
2,600,2000,4,37,0,115.88325
2,600,2100,1,14,0,71.42
2,600,2100,2,15,0,87.504005
2,600,2100,3,27,0,112.8563
2,600,2100,4,32,0,116.28344
2,600,2200,1,12,0,64.86
2,600,2200,2,20,0,76.069
2,600,2200,3,29,0,114.96897
2,600,2200,4,33,0,117.83363
2,600,2300,1,12,0,55.27
2,600,2300,2,23,0,82.51131
2,600,2300,3,33,0,109.09394
2,600,2300,4,36,0,117.08778
2,600,4200,1,19,0,116.41579
2,600,4200,2,6,0,111.713326
2,600,4200,3,16,0,119.765625
2,600,4200,4,14,0,115.87
2,600,4300,1,23,0,113.77913
2,600,4300,2,13,0,109.65616
2,600,4300,3,20,0,117.973
2,600,4300,4,15,0,120.192
2,600,4400,1,40,0,77.95825
2,600,4400,2,15,3,84.54733
2,600,4400,3,14,0,118.97643
2,600,4400,4,14,0,115.384285
2,600,4500,1,12,0,53.700832
2,600,4500,2,9,0,105.524445
2,600,4500,3,15,0,115.22466
2,600,4500,4,20,0,119.551
2,600,4600,1,15,0,59.114666
2,600,4600,2,10,0,104.9
2,600,4600,3,16,0,116.93562
2,600,4600,4,17,0,115.73176
