link,bin,seg,lane,rows,stopped,mean_speed,nveh
30,150,0,1,14,0,55.05,13
30,150,0,2,16,0,58.99,15
30,150,0,3,12,0,67.07333,12
30,150,0,4,5,0,62.474,5
30,150,100,1,25,0,50.3988,18
30,150,100,2,11,0,62.067272,10
30,150,100,3,6,0,70.746666,5
30,150,100,4,4,0,91.605,4
30,150,200,1,35,0,49.938858,22
30,150,200,2,12,0,60.649998,9
30,150,200,3,6,0,82.115,5
30,150,200,4,2,0,96.47,2
30,150,300,1,28,0,51.997143,21
30,150,300,2,7,0,60.438572,7
30,150,300,3,3,0,51.953335,2
30,150,300,4,4,0,104.305,4
30,150,400,1,27,0,46.395554,18
30,150,400,2,8,0,62.4275,6
30,150,400,3,3,0,74.57,3
30,150,400,4,4,0,66.4075,4
30,150,500,1,5,1,35.906,5
30,150,500,2,4,1,12.032499,3
30,150,500,3,7,4,16.082857,3
30,150,500,4,4,2,11.15,3
30,300,0,1,9,0,63.09111,8
30,300,0,2,15,0,68.69467,15
30,300,0,3,21,0,58.755238,21
30,300,0,4,8,0,55.69125,8
30,300,100,1,24,0,61.417084,19
30,300,100,2,11,0,79.65727,10
30,300,100,3,8,0,76.034996,8
30,300,100,4,9,0,52.786667,6
30,300,200,1,24,0,62.992916,20
30,300,200,2,7,0,88.42857,7
30,300,200,3,7,0,91.692856,7
30,300,200,4,2,0,91.21,2
30,300,300,1,36,0,52.379444,27
30,300,300,2,6,0,99.76499,6
30,300,300,3,3,0,112.89667,3
30,300,300,4,3,0,99.91,3
30,300,400,1,74,1,26.615541,32
30,300,400,2,7,0,69.98286,6
30,300,400,3,2,0,97.380005,2
30,300,400,4,5,0,65.586,5
30,300,500,1,27,2,22.472221,23
30,300,500,2,28,23,4.6464286,7
30,300,500,3,36,35,1.055,3
30,300,500,4,7,2,20.334286,4
30,450,0,1,10,0,49.82,10
30,450,0,2,24,0,53.39792,22
30,450,0,3,22,0,53.086365,20
30,450,0,4,9,0,54.550003,9
30,450,100,1,29,0,46.32345,19
30,450,100,2,14,0,62.229282,13
30,450,100,3,10,0,74.833,10
30,450,100,4,10,0,57.499,8
30,450,200,1,35,0,48.144855,24
30,450,200,2,10,0,60.662,8
30,450,200,3,9,0,80.31111,9
30,450,200,4,16,0,48.621876,11
30,450,300,1,37,0,47.531624,26
30,450,300,2,5,0,70.07,5
30,450,300,3,11,0,82.29363,10
30,450,300,4,16,0,47.6375,11
30,450,400,1,37,0,46.001083,24
30,450,400,2,7,0,55.03143,6
30,450,400,3,11,0,58.88091,9
30,450,400,4,20,0,40.9055,11
30,450,500,1,9,0,30.826668,9
