sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
1,D,25,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
1,F,31,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
15,D,25,10.000000,10,14.000000,0,0.000000,0,0,0,0.000000
15,F,31,10.000000,10,14.000000,0,0.000000,0,0,0,0.000000
30,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
30,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
45,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
45,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
60,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
60,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
75,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
75,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
90,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
90,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
105,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
105,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
120,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
120,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
135,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
135,F,31,10.000000,10,15.000000,0,0.000000,2,0,0,48.432870
150,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
150,F,31,10.000000,10,15.000000,0,0.000000,0,1,0,48.484481
165,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
165,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
180,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
180,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
195,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
195,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
210,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
210,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
225,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
225,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
240,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
240,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
255,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
255,F,31,10.000000,10,15.000000,0,0.000000,2,0,0,54.858114
270,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
270,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,51.377816
285,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
285,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
300,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,49.418585
300,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
315,D,25,10.000000,10,15.000000,1,240.000000,0,0,0,0.000000
315,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
330,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
330,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
345,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
345,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
